comment,text_clean,sentiment,label_encoded
Jokowi memang ingin menghancurkan negara hanya orang berjiwa PKI yang punya sifat membuat bangkrut negara.,jokowi memang ingin menghancurkan negara hanya orang berjiwa pki yang punya sifat membuat bangkrut negara,negative,0
Nah loh yang dapat markap siapa itulah dia yang bertanggung jawab karna project itu dibuat hanya untuk bisa dimarkap oleh pencetus project itu siapa tanya Jokowi.,nah loh yang dapat markap siapa itulah dia yang bertanggung jawab karna project itu dibuat hanya untuk bisa dimarkap oleh pencetus project itu siapa tanya jokowi,negative,0
"Jokowi itu jauh lebih pinter dari orang yang pinter, Jokowi mao dilawan mana mungkin bisa menang....?",jokowi itu jauh lebih pinter dari orang yang pinter jokowi mao dilawan mana mungkin bisa menang,neutral,1
"saya cek di komen, adakah yang menyebut anak abah",saya cek di komen adakah yang menyebut anak abah,neutral,1
Om..suruh jokowi Luhut yg urus bayar utang utang ws ituu jangan bebankan bayar utang wus itu dari pajak2Rakyat banyak itu,om suruh jokowi luhut yang urus bayar utang utang ws ituu jangan bebankan bayar utang wus itu dari pajak rakyat banyak itu,negative,0
Iya beneran itu om..proyek wus&IKN  adalah hasilnya kerja ke gilaanjokowi selama 10 tau dan yg harus ditangkap bertanggungjawab adalah jokowi& Luhut binsar p itu,iya beneran itu om proyek wus ikn adalah hasilnya kerja ke gilaanjokowi selama   tau dan yang harus ditangkap bertanggungjawab adalah jokowi luhut binsar p itu,negative,0
Whosshhh itu bukti ketololoan ambisi beliau,whosshh itu bukti ketololoan ambisi beliau,negative,0
"Semua anggota RI lah karna udah tau gak mampu bayar nekat beli huh payah 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉

Bila perlu harus di jual negara kalau gak mampu mempertahankan",semua anggota ri lah karna sudah tau tidak mampu bayar nekat beli huh payah bila perlu harus di jual negara kalau tidak mampu mempertahankan,negative,0
"Kata pak Jokowi ..mana tau saya,kok tanya saya😂😂",kata pak jokowi mana tau saya kok tanya saya,neutral,1
"Mka bang udah mncerdaskan msarakat,  emang nih proyek yg trlalu di paksakan, dananyh dr utang lg,  nih yg di nmakan negra di jajah ekonominyah.",mka bang sudah mncerdaskan msarakat emang nih proyek yang trlalu di paksakan dananyh dari utang lg nih yang di nmakan negra di jajah ekonominyah,negative,0
"Kek macam lirik lagu blackpink yg jump ""we our all the mission, all gas no brakes"", dari liriknya aja maksudnya mereka (pemerintah) seperti punya misi, proyek besar""an secepatnya tanpa memikirkan kedepannya.",kek macam lirik lagu blackpink yang jump we our all the mission all gas no brakes dari liriknya saja maksudnya mereka pemerintah seperti punya misi proyek besar an secepatnya tanpa memikirkan kedepannya,neutral,1
Si Opung pasti terlibat,si opung pasti terlibat,negative,0
"TANGKAP Jokowi dkk dan bawa wisata ke Nusakambangan! Namun, hehe siapa yg mau nangkep? KPK gak berani karena Mas Gemoy sudah menzamin HOPENG nya yg terkasih. Tinggal harapkan mahasiswa, aktivis, & rakyat yg nanti ber ramai2 nangkep buruan  .  .  .  .  !",tangkap jokowi dkk dan bawa wisata ke nusakambangan namun hehe siapa yang mau nangkep kpk tidak berani karena mas gemoy sudah menzamin hopeng nya yang terkasih tinggal harapkan mahasiswa aktivis rakyat yang nanti ber ramai  nangkep buruan,negative,0
"Bapaknya bikin susah tapi malah milih anaknya, kan tulul",bapaknya bikin susah tapi malah milih anaknya kan tulul,negative,0
"Kalo yg bicara tidak mengerti permasalahan awal dan visi Indonesia ya ngak ngerti lah.
Juga kalo Mahmud berbicara itu didasarkan kebencian, mahmud tidak sangat menjilat pdip yg benci sekali Pak Jokowi.
Lihat mahmud yg dulu dihormati sekarang sangat tidak dihormati, kasian salah gaul.",kalau yang bicara tidak mengerti permasalahan awal dan visi indonesia ya ngak ngerti lah juga kalau mahmud berbicara itu didasarkan kebencian mahmud tidak sangat menjilat pdip yang benci sekali pak jokowi lihat mahmud yang dulu dihormati sekarang sangat tidak dihormati kasian salah gaul,positive,2
Woi kontraktor yang ngerjain aja masih banyak yang blm di bayar..udh korup nyiksa rakyat sendiri .. negara gila,woi kontraktor yang ngerjain saja masih banyak yang blm di bayar sudah korup nyiksa rakyat sendiri negara gila,negative,0
Kereta cepat Bandung Jakarta  memakan biaya tidak masuk akal ini disebabkan untuk memiskinkan Bangsa RI  adakh patut proyat kereta cepat di Arab saudi 1100 km sama biayanya jakarta Badung 100km sama biayanya dgn peroyek Arab saudi lni menunjukan kebodohan pemerintah rezim jkw .,kereta cepat bandung jakarta memakan biaya tidak masuk akal ini disebabkan untuk memiskinkan bangsa ri adakh patut proyat kereta cepat di arab saudi   km sama biayanya jakarta badung  km sama biayanya dengan peroyek arab saudi lni menunjukan kebodohan pemerintah rezim jkw,negative,0
"Singkatan yg dipaksain, sama dengan barangnya sendiri",singkatan yang dipaksain sama dengan barangnya sendiri,neutral,1
Yg harus d tangkap paling kecoa...tikusnya d biarkan cari makan lagi....kayak gk tau intergritas kpk dan penegak hukum indonesia aja...😅😅😅,yang harus d tangkap paling kecoa tikusnya d biarkan cari makan lagi kayak tidak tau intergritas kpk dan penegak hukum indonesia saja,negative,0
"Rutenya cuma beberapa daerah, tapi impact tanggung jawab nya satu negara,, gila ga tuh jokovvi",rutenya cuma beberapa daerah tapi impact tanggung jawab nya satu negara gila tidak tuh jokovvi,negative,0
Ini ada komplotn kjhtn yg mmng ala mafia garong yi jkwee n LBP n SMI  dll n kmungkinn ada pihak Cina jg n mrk mlkkn mark up biaya n mnggarong APBN dg sgl cr n gimic politik n bhkn mmpertaruhkn lokasi2 strategis scr geopolitik ... disekitar Natuna n Riau kepulauan  ...,ini ada komplotn kjhtn yang mmng ala mafia garong yi jkwee n lbp n smi dll n kmungkinn ada pihak cina jg n mrk mlkkn mark up biaya n mnggarong apbn dengan sgl cr n gimic politik n bhkn mmpertaruhkn lokasi  strategis scr geopolitik disekitar natuna n riau kepulauan,negative,0
Harus nyapai  ujung timur pulau jawa baru biea balik modal,harus nyapai ujung timur pulau jawa baru biea balik modal,neutral,1
Setuju banget idea bagus bung,setuju banget idea bagus bung,positive,2
Otak lu gak sampai Raymond,otak lu tidak sampai raymond,neutral,1
Presiden k7 jg sableng gendeng😊,presiden k  jg sableng gendeng,negative,0
"INDONESIA KAYA RAYA...PERLU PEMIMPIN KUAT YG JUJUR DAN MERAKYAT...ANTI
 KORUPSI...‼️‼️‼️
HARAPAN SEKARANG ADA DI PRESIDEN PRABOWO...❤❤❤
TANGKAP KORUPTOR MALING DUIT RAKYAT...‼️‼️‼️",indonesia kaya raya perlu pemimpin kuat yang jujur dan merakyat anti korupsi harapan sekarang ada di presiden prabowo tangkap koruptor maling duit rakyat,negative,0
"Pak probowo itu tegas jangan pandang bulu karena buat utang dierajokowi adalah raja berutang kecina dia yang bekerja sama Luhut harus dipertanggung jawabkan bukan rakyat yang akan membayarnya pak Purbaya jangan mau bayar utang yang besar2itu yang buat ternak3jokowi yang banyak menensarakan Indonesia dan rakyat rakyat tidak setuju bayar utang besar3an kapanperlu yang buat utang bersar2suruh bayar Jokowi yang dalangnya sama Luhut tukang rajanya segala2nya.pakmentriku harus tegas tidak kata rakyat jangan mau bayar utang.yang besar2
Rakyat yang kalian.korbankan.miskin.pak ternak2jokowi yang buat utang besar2semoga pak Purbaya selalu dilindungi Allah kemanamenjalankan tugas demi Indonesia selamat dan.rskyat makmur.rakyat tetap menjaga pak Mentriku dibelakang pak Mentriku bersama rakyat menyelamatkan Indonesia aburadur ditangan Jokowi semua aburadur,",pak probowo itu tegas jangan pandang bulu karena buat utang dierajokowi adalah raja berutang kecina dia yang bekerja sama luhut harus dipertanggung jawabkan bukan rakyat yang akan membayarnya pak purbaya jangan mau bayar utang yang besar itu yang buat ternak jokowi yang banyak menensarakan indonesia dan rakyat rakyat tidak setuju bayar utang besar an kapanperlu yang buat utang bersar suruh bayar jokowi yang dalangnya sama luhut tukang rajanya segala nya pakmentriku harus tegas tidak kata rakyat jangan mau bayar utang yang besar  rakyat yang kalian korbankan miskin pak ternak jokowi yang buat utang besar semoga pak purbaya selalu dilindungi allah kemanamenjalankan tugas demi indonesia selamat dan rskyat makmur rakyat tetap menjaga pak mentriku dibelakang pak mentriku bersama rakyat menyelamatkan indonesia aburadur ditangan jokowi semua aburadur,negative,0
"Makasih loh bang yg udh jelasin kegilaan proyek ini dg bahasa yg mudah di pahami sy, emak emak yang pen tau ada apa dibalik kasus ini",makasih loh bang yang sudah jelasin kegilaan proyek ini dengan bahasa yang mudah di pahami saya emak emak yang pen tau ada apa dibalik kasus ini,negative,0
"Saya tadinya mau coba pakai Whoosh untuk berangkat dari Jkt ke Bdg, cuma nge lihat perjalanan keretanya hanya sampai Padalarang, jadi males saya, karena bukan hanya jadi tambah mahal, tambah buang waktu juga dari Padalarang ke Bandung",saya tadinya mau coba pakai whoosh untuk berangkat dari jkt ke bdg cuma nge lihat perjalanan keretanya hanya sampai padalarang jadi males saya karena bukan hanya jadi tambah mahal tambah buang waktu juga dari padalarang ke bandung,neutral,1
Lbp sebetulnya juga termasuk inisiator bersama jkw. Namun dia berlindung diketisk jkw tdk msu disalahkan Lbp bilsng menunggu sk jkw. Setali tiga uang,lbp sebetulnya juga termasuk inisiator bersama jkw namun dia berlindung diketisk jkw tidak msu disalahkan lbp bilsng menunggu sk jkw setali tiga uang,negative,0
Apalagi yg hanya mendapat hanya diameter tertentu,apalagi yang hanya mendapat hanya diameter tertentu,neutral,1
"Siapa yg nanda tangan mou dg cina sampai 60 tahun, apalagi biayanya besar dan apalagi sudah àda transpormasi yg lain dan apalagi negara sedang berhutang katanya.",siapa yang nanda tangan mou dengan cina sampai   tahun apalagi biayanya besar dan apalagi sudah da transpormasi yang lain dan apalagi negara sedang berhutang katanya,negative,0
Tidak perlu di tanya jelas jokowi yg bertanggung jawab karna itu adalah keinginan egois dia sebagai presiden,tidak perlu di tanya jelas jokowi yang bertanggung jawab karna itu adalah keinginan egois dia sebagai presiden,negative,0
"Ke Surabaya ga worth it
Mending naik pesawat kalau mau cepet
Atau Kai biasa kalo ngga keburu banget",ke surabaya tidak worth it mending naik pesawat kalau mau cepet atau kai biasa kalau tidak keburu banget,neutral,1
Ulasan yang sangat bisa diterima akal sehat🙏,ulasan yang sangat bisa diterima akal sehat,positive,2
"100% Betul , Rakyat di rugikan hrs nanggung utang.....Proyek Orang Rakus tnp melihat nasib Rakyat di pertaruhkan ....Utang Whooosh tanggung jawab JOKOWI",  betul rakyat di rugikan hrs nanggung utang proyek orang rakus tnp melihat nasib rakyat di pertaruhkan utang whoosh tanggung jawab jokowi,negative,0
Kasih kesempata buat yg pro WHOOSH untuk kasih PoV mereka...,kasih kesempata buat yang pro whoosh untuk kasih pov mereka,neutral,1
"Bawa bawa agama, buat ngibul secara sains ini ga efisien secara produksi.",bawa bawa agama buat ngibul secara sains ini tidak efisien secara produksi,neutral,1
KUNCI : ADILI JOKOWI ?,kunci adili jokowi,negative,0
"Kalo sudah seperti ini siapa yang harus disalahkan, ya seluruh rakyat indonesia yang sudah memilih Presiden Jokowi. Orang Lugu belum tentu Hatinya bersih dan orang keras belum tentu hatinya jahat.",kalau sudah seperti ini siapa yang harus disalahkan ya seluruh rakyat indonesia yang sudah memilih presiden jokowi orang lugu belum tentu hatinya bersih dan orang keras belum tentu hatinya jahat,negative,0
"Kalau kedaulatan negara, menjual negara ke negara lain demi sedikit org. Apa tdk ada penyelesaian hukum. Org miskin byk, jusru buat hutang yg menyesengsarakan rakyat. Itu tindakan paling kejam diantara kejam yg lain. Itu byk yg ndak makan. Apa pernah dipikirin.yg aneh lg tidak penting utk jalur ini. Lalu tetap dibuat . Dan rugi minta negara byr. Minta tanggung jawab sama yg suruh dan tanda tangan. Negara ini bukan milik oknum tetapi milik rakyat Indonesia.  Semoga Allah SWT menjaga negeri ini dari orang2 zalim. Dan mengembalikan semua kezaliman kpd yg buat. Aamiin.",kalau kedaulatan negara menjual negara ke negara lain demi sedikit org apa tidak ada penyelesaian hukum org miskin byk jusru buat hutang yang menyesengsarakan rakyat itu tindakan paling kejam diantara kejam yang lain itu byk yang ndak makan apa pernah dipikirin yang aneh lg tidak penting untuk jalur ini lalu tetap dibuat dan rugi minta negara byr minta tanggung jawab sama yang suruh dan tanda tangan negara ini bukan milik oknum tetapi milik rakyat indonesia semoga allah swt menjaga negeri ini dari orang  zalim dan mengembalikan semua kezaliman kpd yang buat aamiin,negative,0
Memang banyak maling disini,memang banyak maling disini,negative,0
Salam waras dari Panglima AZAZIL 🏃🏃🏃🏃🧑‍🦽🧑‍🦽🥶,salam waras dari panglima azazil,neutral,1
"secara trasparan di publik yg puya gagasan telah mengakui yg harus di pinta pendapat dan pertanggung jawaban yg Jokowi kalou ega  ,kelewatan.",secara trasparan di publik yang puya gagasan telah mengakui yang harus di pinta pendapat dan pertanggung jawaban yang jokowi kalou ega kelewatan,negative,0
Ketacepat bisnis Jokowi dgn Luhut punya bisnis,ketacepat bisnis jokowi dengan luhut punya bisnis,negative,0
Jokowi harus diperiksa KPK . Menyangkut kereta cepat( whoos.),jokowi harus diperiksa kpk menyangkut kereta cepat whoos,negative,0
"Ampun p jkw knp tega skl pd rakyatnya sendiri, bantuan sembako untuk melunakan rakyat teryata uang teriliyunan masuk dompet"" aparat haus uang, ya Alloh kpn karma nyata bg org"" penghianat itu, kasihan P Prabowo akan membangun indonesia harus menyelesaikan masalh yg bukan urusannya, Ya ALLOH, berilah kekuatan kesehatan pd P Prabowo, agar bisa memimpin negeri ini dgn adil makmur dan beradap amin",ampun p jkw knp tega skl pd rakyatnya sendiri bantuan sembako untuk melunakan rakyat teryata uang teriliyunan masuk dompet aparat haus uang ya alloh kpn karma nyata bg org penghianat itu kasihan p prabowo akan membangun indonesia harus menyelesaikan masalh yang bukan urusannya ya alloh berilah kekuatan kesehatan pd p prabowo agar bisa memimpin negeri ini dengan adil makmur dan beradap amin,negative,0
Yang ditangkap yg namanya tercantum dalam proyek,yang ditangkap yang namanya tercantum dalam proyek,neutral,1
Yang harus di tangkap yang buat kebijakan dan yang memberi anggaran dan kebijakan,yang harus di tangkap yang buat kebijakan dan yang memberi anggaran dan kebijakan,negative,0
Masalah ijazah aja belum beres 😂,masalah ijazah saja belum beres,neutral,1
"Whoosh yg wajib bertanggung jawab adalah "" KOKOWI & LBP ""!!!",whoosh yang wajib bertanggung jawab adalah kokowi lbp,negative,0
*JKW DAN LBP DAN KRONI LAINNYA*,jkw dan lbp dan kroni lainnya,negative,0
Ambisi bole tapi dapak nya tidak di pikirkan itu cara kurang baik buat bisnis nol besar rugi besar,ambisi bole tapi dapak nya tidak di pikirkan itu cara kurang baik buat bisnis nol besar rugi besar,negative,0
Kita sendiri yg kala politik Ahir nya terlilit utang besar dan itu bisa patal ekonomi kita,kita sendiri yang kala politik ahir nya terlilit utang besar dan itu bisa patal ekonomi kita,negative,0
Isinya barisan sakit hati semua,isinya barisan sakit hati semua,neutral,1
presiden ke 7 bukan bangun negeri tapi bangun perut keluarga.😮 barangkali?,presiden ke   bukan bangun negeri tapi bangun perut keluarga barangkali,negative,0
Whoosh ini proyek untuk korupsi geng solo yg menggadaikan kedaulatan NKRI. Joko Widodo harus bertanggung jawab secara pribadi.,whoosh ini proyek untuk korupsi geng solo yang menggadaikan kedaulatan nkri joko widodo harus bertanggung jawab secara pribadi,negative,0
Udah jadi rahasia umum bahwa semua proyek mulai dari orba hingga skrg pasti di mark up.. jadi biar adil kalo mau diusut harus diusut semua.. jangan cuma proyek di era.jkw doang..,sudah jadi rahasia umum bahwa semua proyek mulai dari orba hingga skrg pasti di mark up jadi biar adil kalau mau diusut harus diusut semua jangan cuma proyek di era jkw doang,negative,0
"AYOLAH KPK, USUT TERUS SAMPAI KE JKW DAN LUHUT. JIKA TIDAK, KPK BUBARKAN SAJA!",ayolah kpk usut terus sampai ke jkw dan luhut jika tidak kpk bubarkan saja,negative,0
"Jkowi jd nyusahin semua org.Nyusahin N-gara,presiden&rkyt.termasuk presiden chinna jkowi nyusahin jg.mega wati jg sma itu kasus blbi lns-i htg para konglomerat dr117T-turun jd 5T.masa konglomerat/org2kaya htg hrs di Lns-i.hrs-ny kn di byr bukan di lns-i.akbt-ny n-gara boke!&gk ada duit bangkrut!.pulau di jual&telkom/indosat di jual O/mega wati.pemimpin-ny pd korup!&Bikin bangkrut!.semua.",jkowi jadi nyusahin semua org nyusahin n gara presiden rkyt termasuk presiden chinna jkowi nyusahin jg mega wati jg sma itu kasus blbi lns i htg para konglomerat dr t turun jadi  t masa konglomerat org kaya htg hrs di lns i hrs ny kn di byr bukan di lns i akbt ny n gara boke tidak ada duit bangkrut pulau di jual telkom indosat di jual o mega wati pemimpin ny pd korup bikin bangkrut semua,negative,0
